target,sampwt,trainFlg,appAge,appResidence,appTimeAddress,appIncome,appOcc,appFinanceCo,appChkSv,dealNewUsed,dealLoanToVal,cbFICO,cbTimeFile,cbMosAvg,cbUtilizn,cb90Ever,cbPctGood,cbMosDlq,cbInq5Mos,cbMosInq,Date_Opened
0,28.34083432,1,34,H,12,2917,,N,2,N,75.5,752,1111,-99000784,53,0,100,-99000576,1,0,Thu Oct 26 15:00:00 CST 2006
0,41.30413364,1,20,Q,0,1200,r,_,3,N,79.90000916,630,207,2,88,0,100,-99000576,8,0,Mon Nov 06 16:00:00 CST 2006
0,28.34083432,2,23,H,1,2419,,N,3,N,87.5,656,306,3,85,0,100,-99000576,2,0,Sat May 26 15:00:00 CST 2007
0,28.34083432,1,24,R,1,2800,y,M,3,N,93.70000076,664,209,-99000784,60,0,100,-99000576,6,0,Mon Mar 19 15:00:00 CST 2007
0,28.34083432,1,55,H,7,2600,e,N,3,N,92.30000019,691,703,-99000784,82,0,100,-99000576,0,-99000672,Wed Apr 18 15:00:00 CST 2007
0,28.34083432,1,36,Q,7,3090,f,N,2,N,67.90000916,787,905,-99000784,3,0,100,-99000576,0,-99000672,Wed Feb 21 16:00:00 CST 2007
0,28.34083432,1,26,H,5,3150,f,M,3,N,41.90000916,760,403,1,0,0,100,-99000576,1,0,Thu Jul 13 15:00:00 CST 2006
0,49.90492939,2,27,H,2,1148,f,N,3,N,90.5,730,405,-99000784,19,0,100,-99000576,4,0,Fri Apr 13 15:00:00 CST 2007
0,46.94403995,1,23,H,0,1400,w,_,3,N,84.20000076,0,504,4,-99000672,0,-99000712,-99000576,4,0,Thu Oct 26 15:00:00 CST 2006
0,46.522852,1,21,M,2,1041,w,N,1,N,83.80000305,674,103,2,-99000672,0,100,-99000576,1,0,Tue Sep 26 15:00:00 CST 2006
0,28.34083432,1,66,H,4,1300,e,F,3,N,34.40000916,757,400,-99000784,34,0,67,-99000576,0,-99000672,Wed Dec 13 16:00:00 CST 2006
0,28.34083432,1,24,H,1,1330,w,N,3,N,82.1000061,757,507,-99000784,0,0,100,-99000576,3,0,Sun Jun 10 15:00:00 CST 2007
0,28.34083432,1,-99000792,H,5,6083,g,N,3,N,65.6000061,734,1010,2,100,0,100,-99000576,0,-99000672,Wed Jun 20 15:00:00 CST 2007
0,28.34083432,1,30,H,1,1968,r,_,3,N,92.40000057,700,1011,11,24,0,100,-99000576,5,0,Sat Sep 16 15:00:00 CST 2006
0,49.33049761,1,25,R,1,1593,r,N,3,N,82.70001221,697,402,4,31,0,100,-99000576,14,0,Tue Sep 05 15:00:00 CST 2006
0,41.78467499,1,31,P,15,1500,f,F,0,N,83.5,674,207,15,-99000672,0,100,-99000576,6,0,Sat Apr 28 15:00:00 CST 2007
0,28.34083432,1,53,H,53,5417,p,N,3,N,79.1000061,743,310,-99000784,0,0,100,-99000576,2,0,Thu May 17 15:00:00 CST 2007
0,28.34083432,1,31,H,0,2445,f,_,3,N,84.10000038,750,508,-99000784,18,0,100,-99000576,1,0,Mon Dec 11 16:00:00 CST 2006
0,47.56041645,1,30,R,4,2250,f,M,2,N,77.90000916,586,103,37,-99000672,0,100,-99000576,5,0,Fri Dec 22 16:00:00 CST 2006
0,48.86977774,1,47,R,13,700,y,F,3,N,87.80000019,710,610,5,-99000712,0,50,75,5,0,Fri Aug 18 15:00:00 CST 2006
0,45.12065829,1,21,P,21,1309,r,N,0,N,94.80000019,703,105,1,0,0,100,-99000576,3,0,Mon May 21 15:00:00 CST 2007
0,28.34083432,1,28,H,3,2300,f,N,3,N,88.60000038,675,800,1,60,0,100,-99000576,2,0,Thu Aug 03 15:00:00 CST 2006
0,28.34083432,1,33,H,1,2700,g,_,3,N,58.80000305,760,711,1,11,0,100,-99000576,0,-99000672,Mon Jul 17 15:00:00 CST 2006
0,28.34083432,1,22,H,3,3500,k,N,3,N,69,597,300,-99000784,-99000672,1,67,4,2,5,Sat Jul 22 15:00:00 CST 2006
0,28.34083432,1,28,R,1,4150,p,M,2,N,84.10000038,587,600,-99000784,49,5,41,5,3,0,Fri May 18 15:00:00 CST 2007
0,24.39260213,1,23,R,0,860,g,_,2,N,100,537,404,33,63,3,33,1,20,0,Tue Apr 17 15:00:00 CST 2007
0,28.34083432,1,45,H,3,2000,e,M,1,N,60.30000305,684,1203,-99000784,58,0,75,1,1,3,Tue Oct 10 15:00:00 CST 2006
0,47.30371845,2,25,R,1,1400,b,N,0,N,94.80000019,609,504,-99000784,40,0,96,26,5,0,Mon Sep 04 15:00:00 CST 2006
0,28.34083432,1,56,H,10,1666,e,N,3,N,54.30000305,730,2001,-99000784,98,0,100,-99000576,1,0,Thu Feb 15 16:00:00 CST 2007
0,42.02212362,1,21,Q,3,1000,s,N,1,N,90.10000038,637,304,-99000784,100,0,100,-99000576,2,0,Fri Nov 10 16:00:00 CST 2006
0,28.34083432,1,35,H,3,4375,y,_,3,N,89,666,1300,-99000784,85,0,94,76,3,0,Fri Aug 25 15:00:00 CST 2006
0,49.73124544,2,29,R,3,1040,g,F,3,N,84.10000038,679,705,-99000784,28,0,56,10,2,0,Sat Mar 10 16:00:00 CST 2007
0,28.34083432,2,48,H,45,15000,f,F,3,N,46.70001221,649,11,14,-99000672,0,100,-99000576,4,3,Fri May 11 15:00:00 CST 2007
0,45.42134253,1,21,R,0,1200,g,F,2,N,91,679,107,-99000784,7,0,100,-99000576,10,0,Wed Jul 05 15:00:00 CST 2006
0,47.42086569,1,22,R,6,1150,o,F,3,N,87.80000019,0,3,-99000784,-99000672,0,-99000712,-99000576,2,0,Fri Oct 20 15:00:00 CST 2006
0,28.34083432,1,44,H,1,4300,,N,3,N,88.30000019,735,2211,1,33,0,100,-99000576,2,0,Mon Apr 23 15:00:00 CST 2007
0,28.34083432,1,45,R,9,2400,f,B,3,N,89.90000057,646,1310,-99000784,73,0,100,-99000576,5,0,Wed Nov 01 16:00:00 CST 2006
0,48.05947117,1,42,R,0,2020,w,F,0,N,97.5,661,605,34,5,0,100,-99000576,6,0,Mon Oct 16 15:00:00 CST 2006
0,44.27317399,1,22,Q,0,1442,o,_,3,N,88.10000038,534,110,-99000784,-99000672,1,0,3,4,0,Tue Jul 04 15:00:00 CST 2006
0,28.34083432,1,31,H,2,6666,r,F,3,N,64,653,808,-99000784,69,0,100,-99000576,5,0,Thu Jun 07 15:00:00 CST 2007
0,28.34083432,1,20,P,15,1200,g,N,3,N,85.90000057,662,203,2,79,0,100,-99000576,6,0,Thu Sep 28 15:00:00 CST 2006
0,28.34083432,1,47,R,0,2275,w,N,2,N,69.30000305,757,1010,-99000784,0,0,100,-99000576,2,0,Thu Mar 15 15:00:00 CST 2007
0,28.34083432,1,-99000792,H,0,5255,f,N,3,N,72.30000305,774,1004,-99000784,0,0,100,-99000576,1,4,Thu Oct 26 15:00:00 CST 2006
0,49.98765569,1,46,H,7,4883,y,F,3,N,98.70000076,683,1208,-99000784,54,0,100,-99000576,4,0,Sat Oct 21 15:00:00 CST 2006
0,46.64041508,2,25,P,0,1150,w,N,1,N,89.90000057,624,301,2,78,0,100,-99000576,3,0,Sun Dec 10 16:00:00 CST 2006
0,28.34083432,1,20,M,15,1100,f,N,3,N,85.30000019,671,10,36,-99000672,0,100,-99000576,2,0,Fri Sep 22 15:00:00 CST 2006
0,28.34083432,1,20,R,1,2450,o,F,3,N,89.40000057,682,200,-99000784,-99000672,0,100,-99000576,1,0,Fri Jun 15 15:00:00 CST 2007
0,45.81557868,1,24,H,3,1264,f,N,2,N,80.40000916,622,501,16,168,0,57,3,6,0,Sat Mar 03 16:00:00 CST 2007
